timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582580758.005915,38.0,18.0,18.214978103991598,979.8047108811793,281.82066539088737,"(-0.09, -0.52, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.002181661564992912, 0.0)","(-0.02, 0.0, -0.41000000000000003)","(33.75, -27.6875, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37376,1.8917280842298008,14038.073579576716,16.933437552844225
1582580763.474013,38.4,18.8,18.210532993078232,979.8047108811793,281.32407358785025,"(-0.08, -0.5, 9.36)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, 0.003272492347489368, -0.002181661564992912)","(-0.04, 0.01, -0.42)","(35.25, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8949507896543831,13486.721857864746,17.885507209841705
1582580768.938979,38.7,18.7,18.21942321024835,979.8441041223751,281.82066539088737,"(-0.08, -0.53, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.002181661564992912, 0.0)","(-0.02, 0.01, -0.4)","(35.25, -28.0625, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8949507896543831,13869.969040247679,17.219170571341238
1582580774.403916,38.5,18.9,18.21942321024835,979.8441041223751,282.08618917327567,"(-0.1, -0.49, 9.4)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, -0.002181661564992912, 0.001090830782496456)","(-0.03, 0.01, -0.37)","(35.5625, -27.6875, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",38016,1.8917280842298008,13540.716261359961,17.790341384300007
1582580779.868725,38.7,18.9,18.21942321024835,979.8834973952617,282.4230081900704,"(-0.1, -0.51, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, 0.002181661564992912, -0.002181661564992912)","(-0.03, 0.0, -0.4)","(35.25, -27.0, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37696,1.8949507896543831,13486.721857864746,17.885507209841705
1582580785.333793,39.1,19.0,18.206087877508253,979.7943589633455,281.749380850422,"(-0.08, -0.52, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, 0.0)","(-0.03, 0.02, -0.4)","(34.5, -28.0625, -64.5)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8885053788052186,13432.97457718025,17.98066670000918
1582580790.79861,39.0,18.4,18.206087877508253,979.833751819476,281.41258322074214,"(-0.08, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, -0.002181661564992912, 0.0)","(-0.02, 0.03, -0.4)","(35.875, -27.0, -65.5625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8949507896543831,13486.721857864746,17.885507209841705
1582580796.263753,38.7,18.0,18.206087877508253,979.7736550833247,281.82066539088737,"(-0.1, -0.51, 9.36)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.001090830782496456, 0.0)","(-0.05, 0.02, -0.41000000000000003)","(35.5625, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8917280842298008,13486.721857864746,17.885507209841705
1582580801.728558,38.6,18.0,18.206087877508253,979.8441041223751,281.749380850422,"(-0.08, -0.5, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.003272492347489368, -0.001090830782496456, 0.001090830782496456)","(-0.04, 0.01, -0.4)","(35.5625, -27.25, -67.1875)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8949507896543831,13486.721857864746,17.885507209841705
1582580807.193801,38.5,18.0,18.210532993078232,979.8918314363846,281.749380850422,"(-0.08, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.001090830782496456, 0.001090830782496456)","(-0.04, 0.03, -0.38)","(35.875, -27.0, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.9142870222018766,13379.472726624097,18.075820616816998
